# tensor-level manifest for dv4_proj_weights.safetensors
# tensors: 334   header_bytes: 32015
# __metadata__: {"model": "<ABSOLUTE_MODEL_PATH>"}
# NOTE: __metadata__ is machine-specific (absolute model path) and is EXCLUDED
#       from the hashes below. Compare these, not the file hash.
# name	dtype	shape	nbytes	sha256(raw bytes)
layer_39.comp.wkv.weight	BF16	(512, 4096)	4194304	2b05c29f58cd3da25716198e8e353cca19c9dcd1e100fb567e1ddf81dfe82e46
layer_39.kv_norm.weight	BF16	(512,)	1024	73e66f28e62c9e2c9c150d8d42d7a0d90cd3612c7c15768cc7579735ae00f3bd
layer_39.wkv.weight	BF16	(512, 4096)	4194304	728dee8077a801e8acdd2a96c5f2d8b81c178542b65ddbd657cc8524a8602abe
layer_4.comp.ape	F32	(4, 1024)	16384	1e3c5a2acd55451ea57104bf1e504daf36ff954496abb724306122f02e0d4184
layer_4.comp.norm.weight	BF16	(512,)	1024	e49d9de104e92a7240bdb4315e7766ebcd7372a4ded930920820c96760385abc
layer_4.comp.wgate.weight	BF16	(1024, 4096)	8388608	1fc54dc2a9b92504470d4f8ba7bb4e694f3933742f3046432cff4550061a3bba
layer_4.comp.wkv.weight	BF16	(1024, 4096)	8388608	6ef7c420e26dca7c987ba05e615940b131368b97eb6165040e944a64ddac4f87
layer_4.idx.ape	F32	(4, 256)	4096	4d7e9684b63cb3ee4bd715d0df2cf401858cfc85a8f9e6990aa1f8447d1602b4
layer_4.idx.norm.weight	BF16	(128,)	256	cc8cf77248037ec7c1ed0394efd0d54ece7b42b55c5490e1275e3d5933ee382d
layer_4.idx.wgate.weight	BF16	(256, 4096)	2097152	31175a70500dd8a392a1095e22641acf4ca69416cbf9f811c1b96009d08f6a95
layer_4.idx.wkv.weight	BF16	(256, 4096)	2097152	1a07515226fefadf3dad9ddc1e66f05708803bdc2be2478863702643686da57e
layer_4.kv_norm.weight	BF16	(512,)	1024	1d28313615ebbcbbf4f4b11fb05cbc6132c08f07bd1745827546d56a025afeb1
layer_4.wkv.weight	BF16	(512, 4096)	4194304	63b74f02ee25723007dfac79b3c6d7d1d10b4e5adcaa836dc6ab09adf4aab768
layer_40.comp.ape	F32	(4, 1024)	16384	eefbba7d494db2883a9ad3fb6e31322d7a6e04b161ecc5a484f9a3825f7aa496
layer_40.comp.norm.weight	BF16	(512,)	1024	a8228b8d1b17ed80373b78bca208d0be309ee2687bf2d14b90cd4902f12695ac
layer_40.comp.wgate.weight	BF16	(1024, 4096)	8388608	e31c236cb054b925aa0e8fef5efc470ed2aaf0efb509c16d10474dc48880ffb7
layer_40.comp.wkv.weight	BF16	(1024, 4096)	8388608	a252194f8ec70735aae03c50f017b2a7441afc5ef6dbbd163483c40adfe10fbd
layer_40.idx.ape	F32	(4, 256)	4096	4c75b6e23f4b8031e5501e5bef8645947b043536876faeae4c323d4a77a5c1db
layer_40.idx.norm.weight	BF16	(128,)	256	ed1d5f0571fdbbc591f1c77ef41b55fa739e7ead86e43101c3abac34d397c114
layer_40.idx.wgate.weight	BF16	(256, 4096)	2097152	ebdb16ac71babbc3e3d9215b83e9dd15054d7bf71bf4968ab04ea59bdaf8c9b4
layer_40.idx.wkv.weight	BF16	(256, 4096)	2097152	90afa4eba49aeec0f162d0f442a174fc34c9e1cdbc92b38e8a7c8fe40af9fd5b
layer_40.kv_norm.weight	BF16	(512,)	1024	a2873cb54448094ed38d55e93770e143e386915c496472162288a0357f2686ce
layer_40.wkv.weight	BF16	(512, 4096)	4194304	62c5c46a259f5b8c27133961c16f586b8e3ff8719a347292b9ee11091620a99a
layer_41.comp.ape	F32	(128, 512)	262144	2354cdad11fbe1c9a83ac3006d1f6f166643ead397126a75db68a16a8db380e6
layer_41.comp.norm.weight	BF16	(512,)	1024	5853ae29e2a676284d9af8cb1023d3351d6c405cd5469106189e97910037c321
layer_41.comp.wgate.weight	BF16	(512, 4096)	4194304	fd60c944709f38b229da866dbeeb80b08cc92d183cded6bf7ba377c4aeb73d56
layer_41.comp.wkv.weight	BF16	(512, 4096)	4194304	384f1428b17d5985d1325a914d3421c34d4bf70f1929af9c29b9bd0c98308da0
layer_41.kv_norm.weight	BF16	(512,)	1024	e571fabbb4859f33a2ba001bc0647a39c37298b7c458abf5b3e5982255ae5c21
layer_41.wkv.weight	BF16	(512, 4096)	4194304	aa7d4206d925aff64d7b5a4d4de4fd40e189934b217b661888079369c29a62e2
layer_42.comp.ape	F32	(4, 1024)	16384	495e175c3c82cafeae93459740f3e638eccfb568a52bbba52a9931ee513f1950
layer_42.comp.norm.weight	BF16	(512,)	1024	c95b43c47773c4d65cdf2a39fdff9979418abbf0cb760bb5a594d11b2b465103
layer_42.comp.wgate.weight	BF16	(1024, 4096)	8388608	1e25797097541025ee4d225cb6b2328b3747f8f3e5dbe769ed2b9d62a33da870
layer_42.comp.wkv.weight	BF16	(1024, 4096)	8388608	3869fb32168b956c13ae9731aecfbc477cc5965fb77ee0ff0cb81a1abc5a4696
layer_42.idx.ape	F32	(4, 256)	4096	dae8ec898052b3811525e60ee8101a8986f3093f7c57e7d6d323c45425994e24
layer_42.idx.norm.weight	BF16	(128,)	256	44108798b7bba593df4392f3d84be2f8636e575e05de7b7c3394d5c3bfa2ce2b
layer_42.idx.wgate.weight	BF16	(256, 4096)	2097152	47550af0c32e8a1516a037389ac5dac2536f6d37f443c4d3b8b07c3ff5411fe8
layer_42.idx.wkv.weight	BF16	(256, 4096)	2097152	94bbb270d7c01e1b389ef55eaab921324eab9342213c4118288a09ab9bea19f5
layer_42.kv_norm.weight	BF16	(512,)	1024	fb5112576a3a2a02939554f4226f73eacd6ed005ecd2f8a781985db33460a742
layer_42.wkv.weight	BF16	(512, 4096)	4194304	5a60ac0d14727e8c26b1c0c0adff3f6cc3d7c52aaa43d4a476cf9622ea46bb91
layer_5.comp.ape	F32	(128, 512)	262144	c28248ac6b5b8a29030b71803ec580aa3c63cc6a249c2f795bfb38b2d164e92c
layer_5.comp.norm.weight	BF16	(512,)	1024	33c62b440fdefc680674a357b8b0d9e4a45bbf685826d10f7bc49a48e15b4229
layer_5.comp.wgate.weight	BF16	(512, 4096)	4194304	77ad4c8a5eea6e40d4062341645426227b0f681ff2fa2b13abbae9d7977e5dfd
layer_5.comp.wkv.weight	BF16	(512, 4096)	4194304	b2528f5b1708a98d4f500e2ae6c1d06bad55625ec532bdfd12418739c8a13733
layer_5.kv_norm.weight	BF16	(512,)	1024	24ba13fde0648cb857a7efacf4a15954b0f337d89647c45305e1fda79a95cb67
layer_5.wkv.weight	BF16	(512, 4096)	4194304	899fd0862698373cd9b282bfbdcd50d19cd7b217ab3fb8159a4990580c497c47
layer_6.comp.ape	F32	(4, 1024)	16384	162aa84cfeeb4d6c5f2d01ec380a0ec446b877e129cc080a51cd36bc53e68d08
layer_6.comp.norm.weight	BF16	(512,)	1024	451ea66d559ff4c2838edcc00d4cb99e68b3b96317dfaf2be463261e13795824
layer_6.comp.wgate.weight	BF16	(1024, 4096)	8388608	39d8ab468261fd9e4a7ed5df47dcee7248fdc1058bbc948079d35f6f67e35df7
layer_6.comp.wkv.weight	BF16	(1024, 4096)	8388608	a20c6b893e49687478971e8041171af3a8afd78b7eb9a67cab90c4288e3eb9d7
layer_6.idx.ape	F32	(4, 256)	4096	97ead68ad06bc7c7e179b4486c403209ee36f93c7c82573e5e6072e125c4b855
layer_6.idx.norm.weight	BF16	(128,)	256	2d4f3c0e66d5b9b9516b440b74f3a25aa366bed2ba08d381f7006e46155ff4f1
layer_6.idx.wgate.weight	BF16	(256, 4096)	2097152	1ae0989696a83afba4b73c01f6f4dc1e0b0a782f66f17ec36b3f1a4b5e19b748
layer_6.idx.wkv.weight	BF16	(256, 4096)	2097152	4113d0ca4351178fd448bc5602e76c024354afa4a71166b1abdd60b932141b21
layer_6.kv_norm.weight	BF16	(512,)	1024	b5511dbc2f48bc1f68014a8874e99a65ac1e81a35bd8ab30e94b37886afdeefc
layer_6.wkv.weight	BF16	(512, 4096)	4194304	e3fb25fdaaaf1cd2949a24648b81f88e5920375d96dd3769170ea918a6a08305
layer_7.comp.ape	F32	(128, 512)	262144	61895858e294508d7b9a02405d5b7453aedf176675b6db25022759270e88340b
layer_7.comp.norm.weight	BF16	(512,)	1024	fde803aa3b875a12be96dc59c1cad82aeb2e35f29e7f2b813bbc20ce8242bc9d
layer_7.comp.wgate.weight	BF16	(512, 4096)	4194304	d774b68ad0064447c2b4fe3c64d0acd959e410bcb4b1b9fb5b98026ab32c391a
layer_7.comp.wkv.weight	BF16	(512, 4096)	4194304	b81be4e924a7ab5c92cfbbd61d506b33609ce1aa502d6e893662ceaca0054a71
layer_7.kv_norm.weight	BF16	(512,)	1024	61cc0fbc9da8f29065038d6bb299bc3a6027faa6850756afcee7f113faee3ed5
layer_7.wkv.weight	BF16	(512, 4096)	4194304	7f44706a6d1e5fe654449e64741178b1793c6a52c64aa198562053401c5ab897
layer_8.comp.ape	F32	(4, 1024)	16384	cc33047d2f47fb007904fb137cb8320bb32ecfb3601d6485728780109c9c410f
layer_8.comp.norm.weight	BF16	(512,)	1024	5906125c2f9ff708bbbe2bb0fcf6ad723397b3ca441f0f2440eae8556abc5514
layer_8.comp.wgate.weight	BF16	(1024, 4096)	8388608	e5d3a0506f17103ab01a09e66781ead9042c8239e7b262e2e80ec6ffe2c70360
layer_8.comp.wkv.weight	BF16	(1024, 4096)	8388608	d33428eaa0abe1b20e6e5e09db3579811e8513c5dfb281b0306d143a2e887788
layer_8.idx.ape	F32	(4, 256)	4096	6cf23c945d61d3fd925cead0cd5569a9e3cf6122da9141f2f3ee4b5defe7abb1
layer_8.idx.norm.weight	BF16	(128,)	256	0c0e628e3f5b1caa0aecdd7143a97530b12596dcc8cc123159ba41a7af4e8d6a
layer_8.idx.wgate.weight	BF16	(256, 4096)	2097152	21dd2b285f95e09ff71ada6ed1a9aa34b647b98b16a4a3c2b031569e3b53c207
layer_8.idx.wkv.weight	BF16	(256, 4096)	2097152	2e121159838febd10eebdc3553dee6412e8aa194d132112169ac81f7024b2950
layer_8.kv_norm.weight	BF16	(512,)	1024	6c39e5495aa74bafc3e63dd7854686741a7bd06bb6a08f706d27e2d5e2b77cd8
layer_8.wkv.weight	BF16	(512, 4096)	4194304	ccf60c14566d702b464089bdea3ea85744e3f6889ab021c6f58cc84f1e507ff7
layer_9.comp.ape	F32	(128, 512)	262144	f4310dc1f404fd990332747c5dc197281221ffef6b88624ebd23aa0a364b001e
layer_9.comp.norm.weight	BF16	(512,)	1024	9d8aeb026d143838d62cffbe4ae991f28302747498dc02fb2f422acd130ebb5d
layer_9.comp.wgate.weight	BF16	(512, 4096)	4194304	273988f9dc1a0cebc1df13b1075e981f9e348c15e0871607de59659d1b6a7e04
layer_9.comp.wkv.weight	BF16	(512, 4096)	4194304	35dbf846958f4ca23ee76f87104b30f4d97c129b188c859afc2aacd5973d3997
layer_9.kv_norm.weight	BF16	(512,)	1024	a85ccdf833b4d6681ee6f7336d58dfd1d38a2f34558a4df9d163690808de9764
layer_9.wkv.weight	BF16	(512, 4096)	4194304	b2115def45a9e4b60a72726818215fb6c1bf7ff7148a34b0c87b2dfb2936043d
# AGGREGATE (sha256 over name+tensorhash, sorted): 6280138e551ad4a78f8ea0c7edadafb0a890637836091f0ecc9f209ef288b761
